cohort_month,cohort_size,month_0,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,month_13,month_14,month_15,month_16,month_17,month_18,month_19,month_20,month_21,month_22,month_23
2010-03-01,441,1.0,0.19047619047619047,0.23129251700680273,0.24263038548752835,0.23129251700680273,0.19954648526077098,0.2471655328798186,0.30612244897959184,0.2766439909297052,0.10884353741496598,0.1111111111111111,0.14512471655328799,0.19727891156462585,0.16326530612244897,0.19954648526077098,0.17006802721088435,0.1746031746031746,0.1564625850340136,0.17687074829931973,0.20408163265306123,0.21315192743764172,,,
2010-04-01,294,1.0,0.19047619047619047,0.19047619047619047,0.1598639455782313,0.1836734693877551,0.22108843537414966,0.2755102040816326,0.2653061224489796,0.1054421768707483,0.10884353741496598,0.07482993197278912,0.13945578231292516,0.13945578231292516,0.1564625850340136,0.1564625850340136,0.1564625850340136,0.13945578231292516,0.14965986394557823,0.18027210884353742,0.22789115646258504,,,,
2010-05-01,255,1.0,0.1568627450980392,0.16862745098039217,0.17647058823529413,0.17647058823529413,0.2549019607843137,0.21176470588235294,0.12549019607843137,0.058823529411764705,0.08235294117647059,0.11372549019607843,0.13333333333333333,0.15294117647058825,0.15294117647058825,0.09803921568627451,0.12549019607843137,0.13725490196078433,0.16470588235294117,0.15294117647058825,,,,,
2010-06-01,266,1.0,0.17669172932330826,0.18796992481203006,0.20676691729323307,0.23308270676691728,0.2857142857142857,0.12781954887218044,0.08646616541353383,0.08270676691729323,0.11278195488721804,0.10526315789473684,0.13909774436090225,0.15037593984962405,0.12406015037593984,0.10902255639097744,0.12406015037593984,0.12781954887218044,0.20300751879699247,,,,,,
2010-07-01,184,1.0,0.15760869565217392,0.1793478260869565,0.29347826086956524,0.29347826086956524,0.14130434782608695,0.11413043478260869,0.14673913043478262,0.14673913043478262,0.11413043478260869,0.1358695652173913,0.14673913043478262,0.13043478260869565,0.1358695652173913,0.1956521739130435,0.17391304347826086,0.2391304347826087,,,,,,,
2010-08-01,162,1.0,0.19135802469135801,0.29012345679012347,0.3271604938271605,0.16666666666666666,0.11728395061728394,0.09876543209876543,0.12962962962962962,0.12962962962962962,0.12345679012345678,0.12962962962962962,0.11728395061728394,0.14814814814814814,0.1728395061728395,0.16666666666666666,0.19753086419753085,,,,,,,,
2010-09-01,239,1.0,0.2301255230125523,0.23430962343096234,0.1297071129707113,0.08786610878661087,0.100418410041841,0.13389121338912133,0.100418410041841,0.13389121338912133,0.1297071129707113,0.12133891213389121,0.09623430962343096,0.22594142259414227,0.16736401673640167,0.16736401673640167,,,,,,,,,
2010-10-01,376,1.0,0.2579787234042553,0.14627659574468085,0.125,0.08776595744680851,0.08244680851063829,0.13031914893617022,0.13829787234042554,0.10638297872340426,0.09308510638297872,0.10638297872340426,0.1276595744680851,0.19148936170212766,0.23138297872340424,,,,,,,,,,
2010-11-01,324,1.0,0.17592592592592593,0.09567901234567901,0.09567901234567901,0.07716049382716049,0.08950617283950617,0.12962962962962962,0.10185185185185185,0.08641975308641975,0.09259259259259259,0.1111111111111111,0.14814814814814814,0.25,,,,,,,,,,,
2010-12-01,76,1.0,0.09210526315789473,0.05263157894736842,0.09210526315789473,0.11842105263157894,0.06578947368421052,0.05263157894736842,0.09210526315789473,0.05263157894736842,0.02631578947368421,0.09210526315789473,0.19736842105263158,,,,,,,,,,,,
2011-01-01,72,1.0,0.16666666666666666,0.2222222222222222,0.19444444444444445,0.2222222222222222,0.1527777777777778,0.1527777777777778,0.125,0.1111111111111111,0.20833333333333334,0.25,,,,,,,,,,,,,
2011-02-01,124,1.0,0.1532258064516129,0.1532258064516129,0.18548387096774194,0.21774193548387097,0.16129032258064516,0.16129032258064516,0.1532258064516129,0.1532258064516129,0.18548387096774194,,,,,,,,,,,,,,
2011-03-01,180,1.0,0.18333333333333332,0.21666666666666667,0.19444444444444445,0.2222222222222222,0.15555555555555556,0.20555555555555555,0.2,0.2388888888888889,,,,,,,,,,,,,,,
2011-04-01,106,1.0,0.24528301886792453,0.19811320754716982,0.19811320754716982,0.1792452830188679,0.2358490566037736,0.1792452830188679,0.25471698113207547,,,,,,,,,,,,,,,,
2011-05-01,111,1.0,0.23423423423423423,0.24324324324324326,0.16216216216216217,0.21621621621621623,0.2072072072072072,0.26126126126126126,,,,,,,,,,,,,,,,,
2011-06-01,108,1.0,0.23148148148148148,0.21296296296296297,0.26851851851851855,0.2037037037037037,0.2777777777777778,,,,,,,,,,,,,,,,,,
2011-07-01,101,1.0,0.2079207920792079,0.297029702970297,0.27722772277227725,0.3465346534653465,,,,,,,,,,,,,,,,,,,
2011-08-01,107,1.0,0.2616822429906542,0.308411214953271,0.2616822429906542,,,,,,,,,,,,,,,,,,,,
2011-09-01,188,1.0,0.2712765957446808,0.3776595744680851,,,,,,,,,,,,,,,,,,,,,
2011-10-01,221,1.0,0.3167420814479638,,,,,,,,,,,,,,,,,,,,,,
2011-11-01,192,1.0,,,,,,,,,,,,,,,,,,,,,,,
